No,Unit,Question,CorrectAnswer,Image,Explanation
1,p.11,企業の組織で働くそれぞれの人に割りあてられた仕事。,職務,,組織の中で個人が担当する役割や仕事の内容のことです。職務を明確にすることで責任の所在がはっきりします。
2,p.11,(1)を分担する組織上の地位。,職位,,職務を担当するための組織上の立場・ポジションのことです。部長・課長・係長などが職位の例です。
3,p.11,企業経営の基本的な方針を決定し、経営責任を持つ層。,経営者層,,会社の方向性・戦略を決定する最上位の層です。取締役・社長などが該当し、全体の経営責任を負います。
4,p.11,基本的な方針を具体化する行動計画を立て、従業員の仕事の進め方を把握し、評価する層。,管理者層,,経営者層と一般従業員の中間に位置し、部門目標の達成に向けてチームをまとめる層です。部長・課長などが該当します。
5,p.11,仕入、製造、販売などの機能や職能などで構成される組織。,職能別組織,,専門機能ごとに部門を分けた組織形態です。同じ専門知識を持つ人が集まるため効率的ですが、部門間の連携が課題になりやすいです。
6,p.11,製品ごと、事業ごと、地域ごとなどに部門化して、それぞれの部門の事業を行う組織。,事業部制組織,,製品・地域・顧客などを軸に独立した部門を設ける組織形態です。各事業部が自律的に動けるため意思決定が速い反面、部門間の重複が生じやすいです。
7,p.11,部下が常に一人の上司から指示・命令を受けるようにする原則。,命令系統一元化の原則,,複数の上司から異なる指示が来ると混乱が生じるため、指示系統を一本化することで組織の秩序を保つ原則です。
8,p.11,職務を遂行する場合の権限の範囲はその職務に見合ったものにし、組織で働く人々はその権限に見合った責任を負わなければならないという原則。,権限と責任一致の原則,,権限だけ大きくて責任が小さい、あるいはその逆では組織が機能しません。権限と責任のバランスをそろえることが重要です。
9,p.11,一人の上司が有効に管理・統制できる適正な人数の部下を持つようにする原則。,統制の範囲の原則,,上司が管理できる部下の人数には限界があります。適切な人数（スパン・オブ・コントロール）を設定することで組織の効率が上がります。
10,p.11,情報を収集・分析し、さまざまな案のなかから最適な案を選択する行為。,意思決定,,目標達成のために複数の選択肢を比較・検討し、最善の行動を選ぶプロセスです。経営者から現場まで、組織のあらゆる場面で行われます。
11,p.11,株式会社の最高の意思決定機関。,株主総会,,株主が集まり、会社の重要事項（役員選任・決算承認など）を決定する会議です。株主は出資額に応じた議決権を持ちます。
12,p.11,企業の根幹にかかわるような複雑な課題や非日常的な課題に対して行う意思決定。,非定型的な意思決定,,前例がなく、手順が決まっていない問題に対する判断です。経営戦略の策定や新規事業の立ち上げなどが該当します。
13,p.11,発案者が作成した文書を関係者に回覧して、それぞれの承認を求める手続き。,稟議,,日本の企業で広く使われる意思決定の方式です。起案者が文書を作成し、上位の承認者へ順に回して決裁を得ます。
14,p.11,計画・実行・評価・改善の4つのプロセスを順に実施する手法。,PDCAサイクル,,Plan（計画）→Do（実行）→Check（評価）→Action（改善）の4段階を繰り返すことで業務の質を継続的に高める管理手法です。
15,p.11,社会生活を送るうえで守るべき考え方、良心。,倫理観,,善悪・正誤を判断する基準となる価値観です。企業では法律を守るだけでなく、社会的に正しい行動をとるための基盤となります。
16,p.11,企業で働くうえでのルールや労働条件を定めた規則のこと。,就業規則,,勤務時間・賃金・休暇・服務規律などを定めた職場のルールブックです。常時10人以上の労働者を雇用する事業場では作成・届出が義務付けられています。
17,p.11,自身の体調や時間を適切に管理すること。,自己管理,,健康管理・スケジュール管理・感情管理など、自分自身をコントロールする能力です。社会人として信頼を得るための基本的なスキルです。
18,p.11,特定の個人を識別できる情報のこと。,個人情報,,氏名・住所・電話番号・生年月日など、特定の個人を識別できるすべての情報を指します。個人情報保護法により適切な取り扱いが義務付けられています。
19,p.11,立場が違っても、誰もが自分の考えや気持ちを安心して発言できる状態。,心理的安全性,,チームメンバーが失敗や批判を恐れず意見を言える環境のことです。Googleの研究でも、チームの生産性を高める最も重要な要素として挙げられています。
20,p.11,顧客が商品やサービス、ブランドや会社に対して感じる信頼や愛着のこと。,顧客ロイヤルティ,,顧客が繰り返し購入したり他者に推薦したりするほど企業・ブランドを信頼・愛着している度合いのことです。顧客満足度より深い関係性を示します。
